customerID,loanId,appilcationDate,LoanNumber,LoanAmount,InterestRate,TermDays,repaymentDueDate,repaymentPaidDate
839247458,302953235622,2018-12-21,1,7500.0,30.0,30,2019-01-20,2019-01-16
217540860,302960101337,2018-12-23,1,7500.0,30.0,30,2019-01-22,2018-12-29
522238092,303016988846,2019-01-08,1,7500.0,30.0,30,2019-02-07,2019-01-08
096754469,302999605504,2019-01-04,1,7500.0,30.0,30,2019-02-03,2019-01-08
410354345,302951945878,2018-12-21,1,7500.0,30.0,30,2019-01-20,2019-01-17
027610141,302955854172,2018-12-22,6,45000.0,10.0,90,2019-03-21,2019-01-09
390748423,302941689535,2018-12-19,4,90000.0,5.0,180,2019-06-18,2019-01-15
642947351,302945727970,2018-12-19,3,45000.0,10.0,90,2019-03-19,2019-01-16
227382168,302953081988,2018-12-21,4,45000.0,10.0,90,2019-03-20,2019-01-16
380684555,302997991362,2019-01-03,4,30000.0,10.0,90,2019-04-02,2019-01-11
538656471,302906015723,2018-12-10,1,13500.0,18.0,45,2019-01-24,2019-01-07
067501201,302955909012,2018-12-22,4,19000.0,15.0,60,2019-02-21,2019-01-14
779403451,302941503245,2018-12-19,4,59500.0,7.5,180,2019-06-18,2019-01-16
706745423,302942096687,2018-12-19,1,32000.0,7.5,180,2019-06-18,2019-01-04
175032099,302948765318,2018-12-20,1,8000.0,36.0,45,2019-02-03,2018-12-23
756846529,302943137882,2018-12-19,7,16000.0,20.0,60,2019-02-18,2018-12-21
910833430,302985391002,2018-12-31,1,40500.0,12.0,120,2019-04-30,2019-01-04
789366247,302966696659,2018-12-25,7,9500.0,20.0,30,2019-01-24,2018-12-30
946771596,302919159103,2018-12-12,1,11000.0,27.0,45,2019-01-26,2018-12-15
363467351,302977645174,2018-12-28,1,11000.0,27.0,45,2019-02-11,2019-01-08
380721416,302935257840,2018-12-17,2,11000.0,27.0,45,2019-01-31,2019-01-06
476331961,302987067485,2018-12-31,1,11000.0,27.0,45,2019-02-14,2019-01-10
098589528,302933833928,2018-12-16,1,11000.0,27.0,45,2019-01-31,2018-12-19
063431769,302918179987,2018-12-12,1,11000.0,27.0,45,2019-01-26,2018-12-28
021449557,302982821720,2018-12-30,1,11000.0,27.0,45,2019-02-13,2019-01-07
826509061,302945064516,2018-12-19,1,11000.0,27.0,45,2019-02-02,2019-01-09
153423083,303028288661,2019-01-10,1,11000.0,27.0,45,2019-02-24,2019-01-10
369040052,302980904801,2018-12-29,1,11000.0,27.0,45,2019-02-12,2019-01-10
301885486,302990564127,2019-01-01,2,11000.0,27.0,45,2019-02-15,2019-01-04
134429368,302929098418,2018-12-15,1,11000.0,27.0,45,2019-01-29,2019-01-03
704636732,302987659238,2018-12-31,1,11000.0,27.0,45,2019-02-14,2019-01-10
695952615,302924814341,2018-12-14,1,11000.0,27.0,45,2019-01-28,2019-01-16
769336627,302961393633,2018-12-24,1,11000.0,27.0,45,2019-02-07,2019-01-15
635877349,302952010169,2018-12-21,1,11000.0,27.0,45,2019-02-04,2019-01-14
931044720,302939817465,2018-12-18,1,11000.0,27.0,45,2019-02-01,2019-01-14
022592236,302943908941,2018-12-19,1,11000.0,27.0,45,2019-02-02,2018-12-24
040007463,302931926095,2018-12-16,1,11000.0,27.0,45,2019-01-30,2018-12-22
162160911,302946215470,2018-12-20,1,11000.0,27.0,45,2019-02-03,2019-01-02
940783684,302930790781,2018-12-15,1,11000.0,27.0,45,2019-01-29,2019-01-12
937397087,302921007499,2018-12-13,1,11000.0,27.0,45,2019-01-27,2019-01-16
545358839,302984759273,2018-12-31,1,11000.0,27.0,45,2019-02-14,2019-01-11
812336627,302943840259,2018-12-19,1,11000.0,27.0,45,2019-02-02,2018-12-24
461816834,302957599921,2018-12-22,1,11000.0,27.0,45,2019-02-05,2019-01-13
759510502,302968168829,2018-12-26,1,11000.0,27.0,45,2019-02-09,2019-01-14
156649529,302918487263,2018-12-12,1,11000.0,27.0,45,2019-01-26,2019-01-17
226927764,302941141905,2018-12-18,1,15000.0,18.0,45,2019-02-01,2019-01-15
060618946,302965958049,2018-12-25,1,15000.0,18.0,45,2019-02-08,2019-01-04
108707573,302957873911,2018-12-23,1,15000.0,18.0,45,2019-02-06,2019-01-05
730490580,302955045934,2018-12-22,1,15000.0,18.0,45,2019-02-05,2018-12-23
733776995,302944273002,2018-12-19,2,18500.0,20.0,60,2019-02-18,2019-01-16
072761825,302980080738,2018-12-29,3,12500.0,20.0,30,2019-01-28,2019-01-17
794766162,303003621489,2019-01-04,3,12500.0,20.0,30,2019-02-03,2019-01-15
193319710,302953670147,2018-12-21,6,12500.0,20.0,30,2019-01-20,2018-12-24
307819843,302947707022,2018-12-20,3,12500.0,20.0,30,2019-01-19,2019-01-17
